accident_id,easting,northing,has_coords,accident_date,year,month,weekday,hour,time_24h,num_vehicles,vehicles_bin,num_casualties,road_class,road_surface,lighting_conditions,weather_conditions,severity,casualty_severity
38H0642,443625,437644,True,2016-08-17,2016,8,Wednesday,12,1205,4,3+,1,A(M),Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38H1175,422443,427901,True,2016-08-17,2016,8,Wednesday,16,1640,2,2,1,B,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38H1421,445690,430860,True,2016-08-17,2016,8,Wednesday,18,1840,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
38H1647,428449,435193,True,2016-08-17,2016,8,Wednesday,20,2050,2,2,1,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,Slight,Slight
38H1868,436836,443866,True,2016-08-17,2016,8,Wednesday,22,2250,2,2,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Serious,Serious
38H1868,436836,443866,True,2016-08-17,2016,8,Wednesday,22,2250,2,2,2,A,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38I0565,434744,428894,True,2016-08-18,2016,8,Thursday,10,1030,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38I0568,443617,435483,True,2016-08-17,2016,8,Wednesday,11,1145,2,2,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38I0568,443617,435483,True,2016-08-17,2016,8,Wednesday,11,1145,2,2,2,Motorway,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38I1076,424964,435131,True,2016-08-18,2016,8,Thursday,21,2110,3,3+,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Serious,Serious
38I1175,431627,433076,True,2016-08-18,2016,8,Thursday,16,1650,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38J0757,423138,434233,True,2016-08-19,2016,8,Friday,13,1325,1,1,2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
38J0757,423138,434233,True,2016-08-19,2016,8,Friday,13,1325,1,1,2,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
38J0967,415670,443030,True,2016-08-19,2016,8,Friday,15,1524,1,1,1,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,Slight,Slight
38J1266,439789,432839,True,2016-08-19,2016,8,Friday,17,1750,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
38J1622,442505,435059,True,2016-08-19,2016,8,Friday,20,2055,1,1,1,B,Wet / Damp,Darkness: no street lighting,Raining without high winds,Slight,Slight
38K0551,424852,434705,True,2016-08-20,2016,8,Saturday,10,1045,1,1,1,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Slight,Slight
38K0858,429570,436968,True,2016-08-20,2016,8,Saturday,13,1350,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
38K1444,418177,444549,True,2016-08-20,2016,8,Saturday,12,1235,3,3+,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38K1847,426431,430146,True,2016-08-20,2016,8,Saturday,23,2328,1,1,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38L0497,429583,439261,True,2016-08-21,2016,8,Sunday,9,920,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38L1236,422606,429160,True,2016-08-21,2016,8,Sunday,17,1738,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38L1657,429995,430953,True,2016-08-21,2016,8,Sunday,20,2045,2,2,1,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Slight,Slight
38M0844,426514,427755,True,2016-08-22,2016,8,Monday,12,1205,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38M1404,424429,437118,True,2016-08-22,2016,8,Monday,19,1925,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38M1431,426825,433094,True,2016-08-22,2016,8,Monday,19,1939,2,2,1,B,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38M1450,424278,433939,True,2016-08-22,2016,8,Monday,19,1945,3,3+,2,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38M1450,424278,433939,True,2016-08-22,2016,8,Monday,19,1945,3,3+,2,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38M1570,427230,434732,True,2016-08-20,2016,8,Saturday,15,1500,2,2,1,A,Dry,Daylight: street lights present,Unknown,Serious,Serious
38N0383,426659,429310,True,2016-08-23,2016,8,Tuesday,9,915,1,1,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38N0383,426659,429310,True,2016-08-23,2016,8,Tuesday,9,915,1,1,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
38N0383,426659,429310,True,2016-08-23,2016,8,Tuesday,9,915,1,1,3,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38N0471,428563,427780,True,2016-08-02,2016,8,Tuesday,18,1850,3,3+,2,B,Dry,Daylight: street lights present,Unknown,Slight,Slight
38N0471,428563,427780,True,2016-08-02,2016,8,Tuesday,18,1850,3,3+,2,B,Dry,Daylight: street lights present,Unknown,Slight,Slight
38O0184,430267,433747,True,2016-08-24,2016,8,Wednesday,2,230,1,1,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38O0350,427488,427891,True,2016-08-24,2016,8,Wednesday,7,715,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38O0388,429394,435524,True,2016-08-24,2016,8,Wednesday,8,822,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38O0395,422023,434376,True,2016-08-24,2016,8,Wednesday,8,820,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
